id,name,country
__export__.res_bank_10,BNA,Algeria
__export__.res_bank_11,BEA,Algeria
__export__.res_bank_12,BADR,Algeria
__export__.res_bank_13,BDL,Algeria
__export__.res_bank_14,CPA,Algeria
__export__.res_bank_15,CNMA,Algeria
__export__.res_bank_16,La Poste,Algeria
__export__.res_bank_17,CNEP,Algeria
__export__.res_bank_18,AL SALAM,Algeria
__export__.res_bank_19,ABC,Algeria
__export__.res_bank_20,Arab Bank PLC ALGER,Algeria
__export__.res_bank_21,Al Baraka,Algeria
__export__.res_bank_22,BNP,Algeria
__export__.res_bank_23,Calyon,Algeria
__export__.res_bank_24,Citibank,Algeria
__export__.res_bank_25,Fransabank,Algeria
__export__.res_bank_26,HSBC,Algeria
__export__.res_bank_27,Natixis,Algeria
__export__.res_bank_28,SGA,Algeria
__export__.res_bank_28,Trust,Algeria
__export__.res_bank_28,HBTF,Algeria
